[2026-05-08 15:55:52,887] INFO tracking_app.views user_map_auth_view: preparing vessel JavaScript data
[2026-05-08 15:55:52,888] INFO tracking_app.views user_map_auth_view: building map JavaScript
[2026-05-08 15:55:52,896] INFO tracking_app.views user_map_auth_view: rendering template
[2026-05-08 15:55:52,907] INFO django.server "GET /user_map_auth/ HTTP/1.1" 200 30776
[2026-05-08 15:55:52,991] INFO django.server "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 200 2
[2026-05-08 16:00:18,532] INFO django.utils.autoreload Watching for file changes with StatReloader
[2026-05-08 16:00:26,456] INFO tracking_app.views logout_view: logging out user_id=3
[2026-05-08 16:00:26,575] INFO tracking_app.views logout_view: redirecting to allmaps
[2026-05-08 16:00:26,594] INFO django.server "GET /logout/ HTTP/1.1" 302 0
[2026-05-08 16:00:26,616] INFO tracking_app.views allmaps_view: request started
[2026-05-08 16:00:26,620] INFO tracking_app.views allmaps_view: loaded 0 records from session
[2026-05-08 16:00:26,621] INFO tracking_app.views allmaps_view: fetching vessel data from API url=https://shiptrackingapi-787201059405.asia-south2.run.app/VesselTracking/GetAll
[2026-05-08 16:00:27,823] INFO tracking_app.views allmaps_view: API response status_code=200
[2026-05-08 16:00:27,829] INFO tracking_app.views allmaps_view: API records loaded count=1113
[2026-05-08 16:00:27,829] INFO tracking_app.views allmaps_view: stored records in session count=1113
[2026-05-08 16:00:27,830] INFO tracking_app.views allmaps_view: creating base map
[2026-05-08 16:00:27,831] INFO tracking_app.views allmaps_view: adding tile layers
[2026-05-08 16:00:27,861] INFO tracking_app.views allmaps_view: grouping vessel records into routes
[2026-05-08 16:00:27,865] INFO tracking_app.views allmaps_view: route grouping complete route_count=10
[2026-05-08 16:00:27,865] INFO tracking_app.views allmaps_view: preparing vessel JavaScript data
[2026-05-08 16:00:27,870] INFO tracking_app.views allmaps_view: building map JavaScript
[2026-05-08 16:00:27,989] INFO tracking_app.views allmaps_view: rendering template
[2026-05-08 16:00:28,192] INFO django.server "GET / HTTP/1.1" 200 606891
[2026-05-08 16:00:28,398] INFO django.server "GET /static/css/bootstrap.min.css HTTP/1.1" 304 0
[2026-05-08 16:00:28,403] INFO django.server "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 200 2
[2026-05-08 16:00:28,424] INFO django.server "GET /static/js/bootstrap.bundle.min.js HTTP/1.1" 304 0
[2026-05-08 16:00:33,702] INFO tracking_app.views login_view: request method=POST
[2026-05-08 16:00:33,703] INFO tracking_app.views login_view: authenticating username=Admin
[2026-05-08 16:00:35,948] INFO tracking_app.views login_view: authentication success username=Admin
[2026-05-08 16:00:36,326] INFO django.server "POST /login/ HTTP/1.1" 200 52
[2026-05-08 16:00:36,374] INFO tracking_app.views user_map_auth_view: request started user_authenticated=True
[2026-05-08 16:00:36,375] INFO tracking_app.views user_map_auth_view: cache status cached_count=0 last_fetch=0 force_refresh=False
[2026-05-08 16:00:36,378] INFO tracking_app.views user_map_auth_view: fetching fresh auth vessel data
[2026-05-08 16:00:36,379] INFO tracking_app.views user_map_auth_view: fetching associated vessels url=https://shiptrackingapiauth-787201059405.asia-south2.run.app/VesselTracking/UserAssociatedVessels/4
